0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
357.0,277.0,452.0,604.0,1.0,656.0,94.0,751.0,395.0,2.0,,,,,
354.0,273.0,451.0,606.0,1.0,655.0,94.0,750.0,395.0,2.0,,,,,
355.0,274.0,451.0,604.0,1.0,654.0,95.0,749.0,395.0,2.0,,,,,
356.0,275.0,451.0,603.0,1.0,654.0,95.0,749.0,394.0,2.0,,,,,
356.0,275.0,452.0,606.0,1.0,,,,,,,,,,
356.0,276.0,452.0,606.0,1.0,653.0,95.0,748.0,394.0,2.0,,,,,
356.0,276.0,452.0,607.0,1.0,652.0,95.0,747.0,393.0,2.0,,,,,
354.0,272.0,450.0,606.0,1.0,652.0,95.0,747.0,393.0,2.0,,,,,
353.0,270.0,450.0,606.0,1.0,651.0,95.0,745.0,394.0,2.0,,,,,
352.0,270.0,450.0,607.0,1.0,651.0,95.0,744.0,394.0,2.0,,,,,
352.0,269.0,449.0,607.0,1.0,651.0,95.0,744.0,394.0,2.0,,,,,
352.0,269.0,449.0,607.0,1.0,652.0,95.0,744.0,394.0,2.0,,,,,
353.0,270.0,449.0,607.0,1.0,652.0,95.0,744.0,393.0,2.0,,,,,
353.0,270.0,449.0,607.0,1.0,653.0,95.0,745.0,394.0,2.0,709.0,139.0,883.0,376.0,4.0
353.0,270.0,449.0,607.0,1.0,653.0,95.0,745.0,394.0,2.0,708.0,141.0,880.0,376.0,4.0
352.0,269.0,449.0,607.0,1.0,653.0,95.0,745.0,394.0,2.0,707.0,142.0,878.0,376.0,4.0
352.0,269.0,449.0,607.0,1.0,707.0,144.0,876.0,376.0,4.0,,,,,
352.0,270.0,449.0,607.0,1.0,,,,,,,,,,
352.0,270.0,448.0,607.0,1.0,,,,,,,,,,
352.0,270.0,448.0,607.0,1.0,652.0,96.0,744.0,393.0,2.0,701.0,148.0,868.0,376.0,4.0
352.0,270.0,448.0,607.0,1.0,654.0,97.0,744.0,393.0,2.0,701.0,150.0,865.0,377.0,4.0
352.0,270.0,448.0,607.0,1.0,654.0,97.0,744.0,393.0,2.0,701.0,152.0,863.0,376.0,4.0
352.0,270.0,448.0,607.0,1.0,700.0,154.0,861.0,376.0,4.0,,,,,
352.0,270.0,448.0,608.0,1.0,703.0,155.0,862.0,376.0,4.0,,,,,
352.0,271.0,448.0,607.0,1.0,654.0,97.0,746.0,394.0,2.0,703.0,156.0,860.0,376.0,4.0
354.0,274.0,449.0,608.0,1.0,654.0,97.0,746.0,394.0,2.0,703.0,156.0,860.0,376.0,4.0
355.0,274.0,450.0,608.0,1.0,654.0,96.0,746.0,394.0,2.0,702.0,154.0,859.0,376.0,4.0
