xmin,ymin,xmax,ymax,personID
353.0,276.0,450.0,608.0,1.0
353.0,276.0,450.0,608.0,1.0
353.0,276.0,450.0,609.0,1.0
353.0,276.0,450.0,609.0,1.0
353.0,276.0,450.0,609.0,1.0
353.0,276.0,450.0,609.0,1.0
353.0,276.0,450.0,609.0,1.0
353.0,276.0,450.0,609.0,1.0
353.0,276.0,450.0,609.0,1.0
354.0,276.0,449.0,608.0,1.0
354.0,276.0,449.0,608.0,1.0
354.0,277.0,449.0,608.0,1.0
354.0,277.0,449.0,608.0,1.0
354.0,277.0,449.0,608.0,1.0
354.0,277.0,449.0,608.0,1.0
354.0,277.0,449.0,608.0,1.0
354.0,277.0,449.0,608.0,1.0
354.0,278.0,449.0,608.0,1.0
353.0,278.0,449.0,608.0,1.0
353.0,278.0,448.0,607.0,1.0
353.0,278.0,449.0,606.0,1.0
353.0,278.0,448.0,607.0,1.0
353.0,277.0,450.0,609.0,1.0
353.0,277.0,450.0,610.0,1.0
354.0,277.0,452.0,609.0,1.0
355.0,278.0,454.0,609.0,1.0
356.0,278.0,457.0,610.0,1.0
356.0,278.0,458.0,610.0,1.0
357.0,278.0,461.0,611.0,1.0
358.0,277.0,464.0,611.0,1.0
357.0,277.0,464.0,610.0,1.0
357.0,278.0,465.0,609.0,1.0
358.0,277.0,469.0,610.0,1.0
357.0,278.0,470.0,610.0,1.0
358.0,277.0,473.0,610.0,1.0
358.0,277.0,474.0,610.0,1.0
359.0,279.0,477.0,610.0,1.0
358.0,280.0,480.0,610.0,1.0
356.0,279.0,479.0,610.0,1.0
356.0,281.0,480.0,610.0,1.0
354.0,281.0,478.0,610.0,1.0
353.0,281.0,478.0,610.0,1.0
352.0,283.0,477.0,610.0,1.0
352.0,283.0,478.0,610.0,1.0
350.0,282.0,477.0,610.0,1.0
350.0,283.0,477.0,610.0,1.0
349.0,283.0,476.0,609.0,1.0
349.0,284.0,475.0,609.0,1.0
347.0,289.0,472.0,610.0,1.0
347.0,288.0,472.0,610.0,1.0
346.0,291.0,469.0,610.0,1.0
344.0,292.0,467.0,611.0,1.0
344.0,292.0,467.0,611.0,1.0
346.0,291.0,469.0,611.0,1.0
346.0,296.0,468.0,611.0,1.0
